id,codigo,titulo,telefono,direccion,latitud,longitud,es_autobanco,es_principal,ciudad,departamento,horario_atencion,estado_aprobacion,tipo_punto_atencion1,tipo_punto_atencion2,servicios_ofertados,tiene_pos
549,38,AGENCIA BLANCO GALINDO,(591-4) 4152500,AVENIDA BLANCO GALINDO KM 1 No 1086,-17.3936944,-66.1689889,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
550,39,AGENCIA HEROINAS  ,(591-4) 4152500,AVENIDA HEROINAS ESQUINA CALLE ANTEZANA No E- 745,-17.3911056,-66.1520833,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
551,40,AGENCIA SUR,(591-4) 4152608,CALLE TOTORA NRO 1153 ESQUINA AGUSTIN LOPEZ,-17.4049389,-66.15655,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
553,42,AGENCIA SIMON LOPEZ,(591-4) 4152500,AVENIDA SIMON LOPEZ NRO 1571,-17.3615444,-66.1820389,False,False,Cochabamba,Cochabamba,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
554,46,SUCURSAL ORURO,(591-2) 5252132,CALLE ADOLFO MIER No 820 ESQUINA PRESIDENTE MONTES - PLAZA 10 DE FEBRERO,-17.96897178217121,-67.11500108125828,False,True,Oruro,Oruro,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Sucursal,Sucursal,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
555,47,AGENCIA BOLIVAR,(591-2) 5252132,CALLE BOLIVAR No 460 ENTRE 6 DE OCTUBRE Y POTOSI,-17.9707028,-67.1121056,False,False,Oruro,Oruro,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
556,50,SUCURSAL POTOSI,(591-2) 6228085,PASAJE BOULEVARD NRO 50 - 54 ESQUINA CALLE MATOS,-19.5882306,-65.7524833,False,True,Potosí,Potosí,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Sucursal,Sucursal,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
557,51,AGENCIA VILLAZON,(591-2) 6228085,CALLE INDEPENDENCIA NRO 186 ENTRE LA PAZ Y TARIJA,-22.08979542308381,-65.59493959008147,False,False,Villazón,Potosí,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
558,52,SUCURSAL TARIJA,(591-4) 6642433,"CALLE MARISCAL SUCRE ESQUINA 15 DE ABRIL, PLAZA LUIS DE FUENTES",-21.5345083,-64.7339639,False,True,Tarija,Tarija,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Sucursal,Sucursal,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
559,53,AGENCIA VILLA FATIMA,(591-4) 6642433,AVENIDA LA PAZ ESQUINA AV. BELGRANO,-21.5378674,-64.7237545,False,False,Tarija,Tarija,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
560,54,AGENCIA BERMEJO,(591-4) 6642433,"CALLE COCHABAMBA, HOTEL INTERNACIONAL - BERMEJO",-22.7338444,-64.3444444,False,False,Bermejo,Tarija,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
561,55,AGENCIA YACUIBA,(591-4) 6642433,CALLE SANTA CRUZ ESQ. CALLE SAN PEDRO S/N,-22.0175056,-63.6802167,False,False,Yacuiba,Tarija,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
562,56,AGENCIA FLORIDA,(591-3) 3633000,"ZONA CENTRAL, CALLE FLORIDA N° 64",-17.781903632373893,-63.183349371286745,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
563,57,AGENCIA EQUIPETROL,(591-3) 3633000,"AV. SAN MARTIN ESQUINA C/E UV.0059, Mz. 0013",-17.7609422,-63.1981073,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
564,58,AGENCIA BARRIO LINDO,(591-3) 3633000,"AVENIDA VIEDMA S/N ESQUINA ORURO, ZONA SUR",-17.7900361,-63.1719944,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
566,62,AGENCIA 7 CALLES,(591-3) 3633000,CALLE SUÁREZ DE FIGUEROA No 389,-17.7859889,-63.1846889,False,False,Santa Cruz de la Sierra,Santa Cruz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
