id,titulo,zona,direccion,codigo,codigo_asfi,latitud,longitud,ciudad,discapacitados,deposito_cheque,deposito_efectivo,horario_atencion,estado_aprobacion,monedas_disponibles,telefono_emergencia,servicios_ofertados,tipo_punto_atencion
3008,PLAZA LA LOBA,PLAZA LA LOBA AV. HERNANDO SILES N° 5688 ZONA OBRAJES,PLAZA LA LOBA AV. HERNANDO SILES N° 5688 ZONA OBRAJES,MLP600,BME361,-16.5272055555556,-68.106475,La Paz,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3009,AV AMERICA,AV. AMERICA CASI ESQ. PANDO,AV. AMERICA CASI ESQ. PANDO,MLP408,BME362,-16.4933888888889,-68.1402805555556,La Paz,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,2114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3010,AG CENTRAL PTS 1,PASAJE BOULEVARD NRO. 50,PASAJE BOULEVARD NRO. 50,MPT401,BME363,-19.5882694444444,-65.7524777777778,Potosí,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+612 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3011,AG CENTRAL PTS 2,PASAJE BOULEVARD NRO. 50,PASAJE BOULEVARD NRO. 50,MPT402,BME364,-19.5882833333333,-65.7524777777778,Potosí,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,6124010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3012,AG CIUDAD SATELITE1,AV. SATÉLITE NO 638 ENTRE CALLE 17B Y CALLE NUÑEZ DE PRADO,AV. SATÉLITE NO 638 ENTRE CALLE 17B Y CALLE NUÑEZ DE PRADO,MLP421,BME367,-16.5230833333333,-68.1527777777778,El Alto,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3013,AG VILLAZON 2,CALLE INDEPENDENCIA NRO 186 ENTRE LA PAZ Y TARIJA,CALLE INDEPENDENCIA NRO 186 ENTRE LA PAZ Y TARIJA,MPT166,BME368,-22.0897583333333,-65.5948305555556,Villazón,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+612 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3014,AG VILLA ADELA 1,AV. BOLIVIA N° 131 ESQ. CALLE 1  VILLA BOLIVAR MUNICIPAL,AV. BOLIVIA N° 131 ESQ. CALLE 1  VILLA BOLIVAR MUNICIPAL,MLP425,BME369,-16.5349638888889,-68.1898972222222,El Alto,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3015,AG COLCAPIRHUA,AV. BLANCO GALINDO KM.9 N° E-15 ACERA NORTE ENTRE CLEOMEDES BLANCO Y SUCRE,AV. BLANCO GALINDO KM.9 N° E-15 ACERA NORTE ENTRE CLEOMEDES BLANCO Y SUCRE,MCB420,BME371,-17.3906416666667,-66.2401666666667,Colcapirhua,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+411 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
3016,VILLA 1 DE MAYO,"Av. PRINCIPAL VILLA 1ero.DE MAYO ENTRE CALLE 9 y 10, UV. 86, MZ. Z.E. M10a","Av. PRINCIPAL VILLA 1ero.DE MAYO ENTRE CALLE 9 y 10, UV. 86, MZ. Z.E. M10a (SUPERMERCADO HIPERMAXI)",MSC249,BME373,-17.7978527777778,-63.1345888888889,Santa Cruz de la Sierra,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+311 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
3017,AG RIO SECO,AV. JUAN PABLO II N° 3010 A MEDIA CUADRA DE LA CALLE 6,AV. JUAN PABLO II N° 3010 A MEDIA CUADRA DE LA CALLE 6,MLP427,BME380,-16.4903555555556,-68.2070944444445,El Alto,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
