ID,NOMBRE,DESCRIPCION,HORARIO,TELEFONO,TIPO,SUB_TIPO,LATITUD,LONGITUD,DIRECCION
1692,ATM: 411 Jugueteria La Ganga,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.772333311553425,-63.18902953222539,"Av. Cristobal de Mendoza, 2do Anillo, Esquina Honduras"
6411,ATM: 519 Agencia Paragua II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.764815,-63.1494128,"Av. Cuarto Anillo, Esquina Av. Paragua."
8626,ATM: 571 Cumavi II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7922031,-63.1311152,Av. Cumavi 3 cuadras antes de la Av. 16 de Julio
8644,ATM: 743 Chasquipampa,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.5365413,-68.04630999999999,"Av. Defensores del Chaco N° 90, Zona Chasquipampa"
8799,ATM: 402 Hospital Obrero,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7671843,-63.15656749999999,"Av. Del Japón Esq. Ponce León, 3er Anillo Externo, frente al Hospital Obrero, entre Av. Paragua y Av. Mutualista."
6953,ATM: 526 Autocajero I California,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_L,-17.8213253,-63.21848060000001,"Av. Doble Vía La Guardia entre 5to y 6to Anillo, Esq. Calle San Francisco, Barrio California,"
6955,ATM: 527 California Autocajero II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_L,-17.8213253,-63.21848060000001,"Av. Doble Vía La Guardia entre 5to y 6to Anillo, Esq. Calle San Francisco, Barrio California,"
6957,ATM: 528 Sala California III,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.8213253,-63.21848060000001,"Av. Doble Vía La Guardia entre 5to y 6to Anillo, Esq. Calle San Francisco, Barrio California,"
6959,ATM: 529 Especial Sala California,Cajero Automático para Discapacitados,Horario.SI,800103999,Tipo.ATM,SubTipo.DISCAPACITADOS,-17.8213253,-63.21848060000001,"Av. Doble Vía La Guardia, Esq. Calle San Francisco, entre 5to y 6to Anillo, Barrio California."
8195,ATM: 542 Hipermaxi La Guardia Km.12,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.8674309,-63.27154590000001,"Av. Doble Vía La Guardia, Km. 12, Supermercado Hipermaxi."
8868,ATM: 445 Hipermaxi Mutualista,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.7656935,-63.15951390000001,"Av. Doctor Lucas Saucedo, 3er. Anillo Interno, entre la Av. Mutualista y Av. Paragua, Supermercado Hipermaxi"
26,ATM: 256 Agencia Mutualista II,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.762925,-63.1633722222222,"Av. Dr. Lucas Saucedo Nº 1050, 3er anillo interno entre calles Sandía y Buena Vista."
6232,ATM: 346 IC Norte Dorbigny,Cajero Automático,Horario.NO,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3882669792972,-66.1794202,"Av. D¿Orbigny, Esq. Av. Melchor Perez de Olguin, Shopping IC Norte."
5914,ATM: 337 Aldea SOS,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.35095880611025,-66.1928166170432,Av. Ecológica N° 250 casi esquina Av. Linde.
8578,ATM: 561 Los Pocitos,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.841449,-63.1099742,"Av. El Paurito, Surtidor Los Pocitos, Zona del mercado Los Pocitos"
7779,ATM: 487 El Remanso,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.714591992173236,-63.16874021801656,"Av. El Remanso, 8vo. Anillo N° 9005."
